sku_id,week_start,days_observed,weekly_demand,promo_days,holiday_days,promo_week,holiday_week,promo_event,month,quarter,year,week_of_year,week_sin,week_cos,month_sin,month_cos,category,subcategory,unit_cost,list_price,lag_1_week,lag_2_week,lag_4_week,lag_8_week,lag_13_week,lag_26_week,lag_52_week,rolling_mean_4_week,rolling_mean_8_week,rolling_mean_13_week,rolling_std_4_week,rolling_std_8_week,demand_trend_4_13,demand_trend_8_13,demand_growth_4_13,promo_demand_interaction,promo_intensity,holiday_promo_interaction
SKU001,2025-01-06,7,431.0,3,0,1,0,New Year Sale,1,1,2025,2,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,Furniture,Chair,2362.73,4730.28,,,,,,,,,,,,,,,,,0.42857142857142855,0
SKU001,2025-01-13,7,397.0,3,0,1,0,New Year Sale,1,1,2025,3,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,Furniture,Chair,2362.73,4730.28,431.0,,,,,,,,,,,,,,,,0.42857142857142855,0
SKU001,2025-01-20,7,420.0,0,1,0,1,No Promotion,1,1,2025,4,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,Furniture,Chair,2362.73,4730.28,397.0,431.0,,,,,,,,,,,,,,,0.0,0
SKU001,2025-01-27,7,403.0,0,0,0,0,No Promotion,1,1,2025,5,0.5680647467311558,0.8229838658936564,0.49999999999999994,0.8660254037844387,Furniture,Chair,2362.73,4730.28,420.0,397.0,,,,,,,,,,,,,,,0.0,0
SKU001,2025-02-03,7,424.0,0,0,0,0,No Promotion,2,1,2025,6,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,Furniture,Chair,2362.73,4730.28,403.0,420.0,431.0,,,,,412.75,,,15.58578412100805,,,,,0.0,0.0,0
SKU001,2025-02-10,7,343.0,0,0,0,0,No Promotion,2,1,2025,7,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,Furniture,Chair,2362.73,4730.28,424.0,403.0,397.0,,,,,411.0,,,13.038404810405298,,,,,0.0,0.0,0
SKU001,2025-02-17,7,342.0,0,0,0,0,No Promotion,2,1,2025,8,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,Furniture,Chair,2362.73,4730.28,343.0,424.0,420.0,,,,,397.5,,,37.456641600656084,,,,,0.0,0.0,0
SKU001,2025-02-24,7,380.0,0,0,0,0,No Promotion,2,1,2025,9,0.8854560256532099,0.4647231720437686,0.8660254037844386,0.5000000000000001,Furniture,Chair,2362.73,4730.28,342.0,343.0,403.0,,,,,378.0,,,41.880783182743855,,,,,0.0,0.0,0
SKU001,2025-03-03,7,359.0,0,0,0,0,No Promotion,3,1,2025,10,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,Furniture,Chair,2362.73,4730.28,380.0,342.0,424.0,431.0,,,,372.25,392.5,,38.76746918057287,34.88347951189994,,,,0.0,0.0,0
SKU001,2025-03-10,7,356.0,0,0,0,0,No Promotion,3,1,2025,11,0.970941817426052,0.23931566428755804,1.0,6.123233995736766e-17,Furniture,Chair,2362.73,4730.28,359.0,380.0,343.0,397.0,,,,356.0,383.5,,17.795130420052192,32.75449805533803,,,,0.0,0.0,0
