date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,daily_demand,average_daily_demand,inventory_coverage_days,lead_time_demand,below_reorder_point,stockout_flag,lead_time_risk,risk_category
2025-01-01,SKU001,284.0,125,6.0,255,52.0,58.959706959706956,4.816848906560637,353.75824175824175,False,False,True,High
2025-01-02,SKU001,215.0,128,6.0,255,69.0,58.959706959706956,3.6465581510934397,353.75824175824175,True,False,True,High
2025-01-03,SKU001,166.0,186,6.0,255,49.0,58.959706959706956,2.815482107355865,353.75824175824175,True,False,True,High
2025-01-04,SKU001,92.0,62,6.0,255,74.0,58.959706959706956,1.5603876739562625,353.75824175824175,True,False,True,High
2025-01-05,SKU001,49.0,112,6.0,255,43.0,58.959706959706956,0.8310760437375746,353.75824175824175,True,False,True,High
2025-01-06,SKU001,50.0,0,6.0,255,56.0,58.959706959706956,0.8480367793240557,353.75824175824175,True,False,True,High
2025-01-07,SKU001,4.0,64,6.0,255,46.0,58.959706959706956,0.06784294234592446,353.75824175824175,True,False,True,High
2025-01-08,SKU001,0.0,127,6.0,255,51.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-09,SKU001,0.0,43,6.0,255,65.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-10,SKU001,0.0,49,6.0,255,70.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-11,SKU001,0.0,65,6.0,255,84.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-12,SKU001,51.0,0,6.0,255,59.0,58.959706959706956,0.8649975149105368,353.75824175824175,True,False,True,High
2025-01-13,SKU001,8.0,187,6.0,255,43.0,58.959706959706956,0.13568588469184892,353.75824175824175,True,False,True,High
2025-01-14,SKU001,0.0,139,6.0,255,66.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-15,SKU001,0.0,135,6.0,255,74.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-16,SKU001,0.0,87,6.0,255,50.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-17,SKU001,0.0,39,6.0,255,40.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-18,SKU001,101.0,0,6.0,255,58.0,58.959706959706956,1.7130342942345926,353.75824175824175,True,False,True,High
2025-01-19,SKU001,35.0,30,6.0,255,66.0,58.959706959706956,0.593625745526839,353.75824175824175,True,False,True,High
2025-01-20,SKU001,0.0,149,6.0,255,41.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-21,SKU001,0.0,85,6.0,255,54.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-22,SKU001,0.0,105,6.0,255,58.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-23,SKU001,0.0,112,6.0,255,77.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-24,SKU001,4.0,0,6.0,255,61.0,58.959706959706956,0.06784294234592446,353.75824175824175,True,False,True,High
2025-01-25,SKU001,0.0,137,6.0,255,51.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-26,SKU001,0.0,71,6.0,255,78.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-27,SKU001,0.0,49,6.0,255,58.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-28,SKU001,0.0,85,6.0,255,58.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-29,SKU001,0.0,165,6.0,255,55.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-01-30,SKU001,54.0,0,6.0,255,40.0,58.959706959706956,0.9158797216699802,353.75824175824175,True,False,True,High
2025-01-31,SKU001,0.0,187,6.0,255,72.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-01,SKU001,0.0,30,6.0,255,61.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-02,SKU001,0.0,27,6.0,255,59.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-03,SKU001,0.0,176,6.0,255,54.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-04,SKU001,0.0,56,6.0,255,50.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-05,SKU001,0.0,61,6.0,255,79.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-06,SKU001,108.0,0,6.0,255,48.0,58.959706959706956,1.8317594433399604,353.75824175824175,True,False,True,High
2025-02-07,SKU001,27.0,54,6.0,255,81.0,58.959706959706956,0.4579398608349901,353.75824175824175,True,False,True,High
2025-02-08,SKU001,0.0,128,6.0,255,51.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-09,SKU001,0.0,31,6.0,255,61.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-10,SKU001,0.0,172,6.0,255,50.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-11,SKU001,0.0,121,6.0,255,40.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-12,SKU001,54.0,0,6.0,255,46.0,58.959706959706956,0.9158797216699802,353.75824175824175,True,False,True,High
2025-02-13,SKU001,4.0,85,6.0,255,50.0,58.959706959706956,0.06784294234592446,353.75824175824175,True,False,True,High
2025-02-14,SKU001,0.0,77,6.0,255,63.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-15,SKU001,0.0,69,6.0,255,50.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-16,SKU001,0.0,189,6.0,255,44.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-17,SKU001,0.0,76,6.0,255,46.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-18,SKU001,28.0,0,6.0,255,36.0,58.959706959706956,0.4749005964214712,353.75824175824175,True,False,True,High
2025-02-19,SKU001,0.0,101,6.0,255,49.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-20,SKU001,0.0,67,6.0,255,58.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-21,SKU001,0.0,70,6.0,255,58.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-22,SKU001,0.0,69,6.0,255,36.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-23,SKU001,0.0,47,6.0,255,59.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-24,SKU001,124.0,0,6.0,255,50.0,58.959706959706956,2.103131212723658,353.75824175824175,True,False,True,High
2025-02-25,SKU001,69.0,55,6.0,255,55.0,58.959706959706956,1.1702907554671969,353.75824175824175,True,False,True,High
2025-02-26,SKU001,24.0,27,6.0,255,45.0,58.959706959706956,0.4070576540755467,353.75824175824175,True,False,True,High
2025-02-27,SKU001,0.0,156,6.0,255,51.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-02-28,SKU001,0.0,100,6.0,255,78.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-01,SKU001,0.0,84,6.0,255,50.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-02,SKU001,0.0,114,6.0,255,51.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-03,SKU001,0.0,118,6.0,255,43.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-04,SKU001,0.0,89,6.0,255,48.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-05,SKU001,0.0,168,6.0,255,58.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-06,SKU001,123.0,0,6.0,255,44.0,58.959706959706956,2.086170477137177,353.75824175824175,True,False,True,High
2025-03-07,SKU001,59.0,86,6.0,255,64.0,58.959706959706956,1.0006833996023858,353.75824175824175,True,False,True,High
2025-03-08,SKU001,9.0,61,6.0,255,50.0,58.959706959706956,0.15264662027833004,353.75824175824175,True,False,True,High
2025-03-09,SKU001,0.0,106,6.0,255,52.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-10,SKU001,0.0,50,6.0,255,41.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-11,SKU001,0.0,72,6.0,255,40.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-12,SKU001,30.0,0,6.0,255,59.0,58.959706959706956,0.5088220675944334,353.75824175824175,True,False,True,High
2025-03-13,SKU001,0.0,89,6.0,255,48.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
2025-03-14,SKU001,0.0,54,6.0,255,54.0,58.959706959706956,0.0,353.75824175824175,True,True,True,Critical
